,订单号,订单行,销售时间,交货时间,货品交货状况,货品,货品用户反馈,销售区域,数量,销售金额
0,P096311,10,2016/7/30,2016/9/30,晚交货,货品3,质量合格,华北,2.0,"1052,75元"
1,P096826,10,2016/8/30,2016/10/30,按时交货,货品3,质量合格,华北,10.0,"11,50万元"
2,,20,2016/8/30,2016/10/30,按时交货,货品3,质量合格,华北,10.0,"11,50万元"
3,P097435,10,2016/7/30,2016/9/30,按时交货,货品1,返修,华南,2.0,"6858,77元"
4,P097446,60,2016/11/26,2017/1/26,晚交货,货品3,质量合格,华北,15.0,"129,58元"
5,P097446,80,2016/11/26,2017/1/26,晚交货,货品3,拒货,华北,15.0,"32,39元"
6,P098065,10,2016/7/15,2016/10/15,按时交货,货品2,返修,华东,1.0,"22192,97元"
7,P098065,20,2016/8/10,2016/11/10,按时交货,货品1,质量合格,华南,1.0,"25723,04元"
8,P098823,10,2016/9/30,2016/11/30,按时交货,货品1,拒货,华南,2.0,"6934,75元"
9,P099725,10,2016/8/3,2016/11/3,晚交货,货品3,质量合格,华北,1.0,"1319,63元"
10,P101535,10,2016/7/15,2016/10/15,按时交货,货品3,返修,华北,,"700,53元"
11,,20,2016/8/22,2016/11/22,按时交货,货品3,返修,华北,4.0,"700,53元"
12,P098065,10,2016/7/15,2016/10/15,按时交货,货品2,返修,华东,1.0,"22192,97元"
13,P098065,20,2016/8/10,2016/11/10,按时交货,货品1,质量合格,华南,1.0,"25723,04元"
14,P098823,10,2016/9/30,2016/11/30,按时交货,货品1,拒货,华南,2.0,"6934,75元"
15,P099725,10,2016/8/3,2016/11/3,晚交货,货品3,质量合格,华北,1.0,"1319,63元"
16,P101535,10,2016/7/15,2016/10/15,按时交货,货品3,返修,华北,,"700,53元"
17,P109038,10,2016/12/30,2017/2/28,晚交货,货品2,返修,马来西亚,1.0,"2910,61元"
18,P109038,20,2016/12/30,2017/2/28,晚交货,货品2,质量合格,马来西亚,1.0,"2910,61元"
19,P109736,10,2016/12/30,2017/2/28,按时交货,货品1,拒货,华南,1.0,"30718,00元"
20,P110672,30,2016/7/15,2016/10/15,按时交货,货品1,拒货,华南,280.0,"19755,19元"
21,P110672,40,2016/9/15,2016/12/15,按时交货,货品1,质量合格,华南,280.0,"19755,19元"
22,P111812,10,2016/8/25,2016/10/25,按时交货,货品1,质量合格,华南,1.0,"17538,97元"
23,P111812,20,2016/8/25,2016/10/25,按时交货,货品1,拒货,华南,1.0,"17538,97元"
24,P112481,10,2016/9/12,2016/12/12,晚交货,货品2,拒货,马来西亚,1.0,"1140,53元"
25,P112700,10,2016/7/30,2016/9/30,按时交货,货品2,拒货,马来西亚,2.0,"44,19元"
26,P113276,10,2016/8/22,2016/11/22,晚交货,货品2,拒货,马来西亚,1.0,"38,97元"
27,P114322,10,2016/12/15,2017/3/15,晚交货,货品2,拒货,马来西亚,1.0,"200,61元"
28,P114322,10,2016/11/22,2017/2/22,晚交货,货品2,拒货,马来西亚,1.0,"200,61元"
29,P116102,10,2016/8/30,2016/10/30,按时交货,货品6,质量合格,马来西亚,1.0,"92,00元"
30,P117997,10,2016/8/25,2016/10/25,晚交货,货品2,拒货,马来西亚,1500.0,"4419,19元"
31,P121154,10,2016/7/30,2016/9/30,按时交货,货品3,质量合格,华北,1.0,"32,70万元"
32,P122051,10,2016/7/15,2016/10/15,按时交货,货品6,质量合格,马来西亚,,"42,76元"
33,P122441,10,2016/8/31,2016/10/31,按时交货,货品5,拒货,泰国,1.0,"348,74元"
34,P122603,10,2016/8/31,2016/10/31,按时交货,货品6,质量合格,马来西亚,1.0,"36,71元"
35,P122660,10,2016/8/31,2016/10/31,晚交货,货品2,返修,马来西亚,1.0,"152,59元"
36,P122837,10,2016/8/31,2016/10/31,按时交货,货品4,返修,西北,1.0,"399,94元"
